activity_key,display_name,group,scope,ghg_category,category_name,default_unit,allowed_units,gases,factor_source,notes
fuel.diesel.stationary,"Diesel / HSD — stationary (DG set, boiler)",Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal|kg|t,"CO2,CH4,N2O",DESNZ,Most common Indian DG-set fuel
fuel.ldo,Light diesel oil (LDO),Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal|kg|t,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.furnace_oil,Furnace oil / heavy fuel oil,Liquid fuel,1,1.1,Stationary combustion,t,kg|t|L|kL,"CO2,CH4,N2O",DESNZ,
fuel.kerosene_sko,Kerosene / SKO,Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
fuel.naphtha,Naphtha,Liquid fuel,1,1.1,Stationary combustion,t,kg|t|L|kL,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.lpg.stationary,LPG — stationary,Liquid fuel,1,1.1,Stationary combustion,kg,kg|t|L|m3,"CO2,CH4,N2O",DESNZ,"Sold by mass in India, by volume in UK — unit trap"
fuel.propane,Propane,Liquid fuel,1,1.1,Stationary combustion,kg,kg|t|L|m3,"CO2,CH4,N2O",DESNZ,
fuel.butane,Butane,Liquid fuel,1,1.1,Stationary combustion,kg,kg|t|L|m3,"CO2,CH4,N2O",DESNZ,
fuel.lng,LNG,Liquid fuel,1,1.1,Stationary combustion,t,kg|t|m3|GJ,"CO2,CH4,N2O",DESNZ,
fuel.biodiesel.stationary,Biodiesel (B100) — stationary,Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal,"CH4,N2O",DESNZ,Biogenic CO2 → memo item
fuel.ethanol.stationary,Ethanol — stationary,Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal,"CH4,N2O",DESNZ,Biogenic CO2 → memo item
fuel.lubricants,Lubricants (combusted),Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal|kg,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.waste_oil,Waste oil (combusted),Liquid fuel,1,1.1,Stationary combustion,L,L|kL|m3|gal|kg,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.natural_gas,Natural gas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",DESNZ,Ask net or gross CV — a ~10% error if mismatched
fuel.png,Piped natural gas (PNG),Gaseous fuel,1,1.1,Stationary combustion,scm,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",DESNZ,
fuel.cng.stationary,CNG — stationary,Gaseous fuel,1,1.1,Stationary combustion,kg,kg|scm|m3,"CO2,CH4,N2O",DESNZ,
fuel.biogas,Biogas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CH4,N2O",DESNZ,Biogenic CO2 → memo item
fuel.landfill_gas,Landfill gas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CH4,N2O",IPCC 2006 Vol.2,Biogenic CO2 → memo item
fuel.producer_gas,Producer gas / syngas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.blast_furnace_gas,Blast furnace gas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",IPCC 2006 Vol.2,Steel plants — recovered process gas burned for energy
fuel.coke_oven_gas,Coke oven gas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.converter_gas,Converter / LD gas,Gaseous fuel,1,1.1,Stationary combustion,m3,m3|scm|Nm3|MMBtu|GJ|kWh,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.hydrogen.grey,"Hydrogen — grey (SMR-derived), combusted",Gaseous fuel,1,1.1,Stationary combustion,kg,kg|m3|GJ,N2O,IPCC 2006 Vol.2,"Hydrogen combustion produces water, NOT CO2. CO2 factor is 0. SMR CO2 belongs in process.hydrogen_smr (1.3) if made on site, or Cat 3.3 if bought."
fuel.hydrogen.green,"Hydrogen — green, combusted",Gaseous fuel,1,1.1,Stationary combustion,kg,kg|m3|GJ,none,IPCC 2006 Vol.2,Zero at combustion; record for energy balance
fuel.ammonia_fuel,Ammonia as fuel,Gaseous fuel,1,1.1,Stationary combustion,t,kg|t,N2O,IPCC 2006 Vol.2,
mobile.diesel,Diesel — owned/leased vehicles,Mobile — road,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,Fuel-based method preferred over distance-based
mobile.petrol,Petrol / gasoline — owned/leased vehicles,Mobile — road,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.cng,CNG — owned/leased vehicles,Mobile — road,1,1.2,Mobile combustion,kg,kg|scm,"CO2,CH4,N2O",DESNZ,
mobile.lpg_auto,Auto LPG,Mobile — road,1,1.2,Mobile combustion,kg,kg|L,"CO2,CH4,N2O",DESNZ,
mobile.biodiesel_blend,Biodiesel blend (B7/B20),Mobile — road,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,Split fossil and biogenic fractions by blend ratio
mobile.ethanol_blend,Ethanol blend (E10/E20),Mobile — road,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,India is moving to E20 — blend ratio must be a user input
mobile.distance.car,Distance — company car,Mobile — road,1,1.2,Mobile combustion,km,km|mi,"CO2,CH4,N2O",DESNZ,Fallback only; flag as lower data quality than fuel-based
mobile.distance.truck,Distance — owned truck by size class,Mobile — road,1,1.2,Mobile combustion,km,km|mi,"CO2,CH4,N2O",DESNZ,Fallback only
mobile.distance.two_wheeler,Distance — owned two-wheeler,Mobile — road,1,1.2,Mobile combustion,km,km|mi,"CO2,CH4,N2O",DESNZ,
mobile.forklift_diesel,Forklift / material handling — diesel,Mobile — road,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.forklift_lpg,Forklift — LPG,Mobile — road,1,1.2,Mobile combustion,kg,kg|L,"CO2,CH4,N2O",DESNZ,
mobile.atf_own_aircraft,Aviation turbine fuel — company-owned/leased aircraft,Mobile — air/sea/rail,1,1.2,Mobile combustion,L,L|kL|m3|gal|kg|t,"CO2,CH4,N2O",DESNZ,SCOPE 1 ONLY if the aircraft is owned or leased. A commercial flight ticket is Scope 3 Category 6.
mobile.avgas,Aviation gasoline — owned aircraft,Mobile — air/sea/rail,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.marine_gas_oil,Marine gas oil — owned vessel,Mobile — air/sea/rail,1,1.2,Mobile combustion,t,kg|t|L|kL,"CO2,CH4,N2O",DESNZ,
mobile.marine_hfo,Heavy fuel oil / bunker — owned vessel,Mobile — air/sea/rail,1,1.2,Mobile combustion,t,kg|t,"CO2,CH4,N2O",DESNZ,
mobile.rail_diesel,Diesel — owned locomotive / siding shunter,Mobile — air/sea/rail,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
process.cement_clinker,Cement — clinker calcination,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,Tier 2: clinker production x CaO content. Do not use cement output.
process.lime_calcination,Lime — calcination of limestone,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.dolomite_calcination,Dolomite calcination,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.limestone_flux,Limestone / dolomite used as flux,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,Common in steel and glass
process.soda_ash_use,Soda ash use,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.iron_steel_bf,Iron & steel — blast furnace reductant (carbon mass balance),Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,"MUTUALLY EXCLUSIVE with fuel.coke.metallurgical, fuel.blast_furnace_gas, fuel.coke_oven_gas and fuel.converter_gas. IPCC Vol.3 Ch.4 accounts for integrated steel by ONE carbon balance. Engine must enforce a method flag: carbon-balance OR fuel-based, never both."
process.iron_steel_dri,Iron & steel — direct reduced iron (DRI/sponge iron),Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,Very common in India
process.iron_steel_eaf_electrode,Iron & steel — EAF graphite electrode consumption,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.ammonia_production,Ammonia production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.nitric_acid,Nitric acid production,Process,1,1.3,Process emissions,t,kg|t,N2O,IPCC 2006 Vol.2,"N2O — dominant gas, not CO2"
process.adipic_acid,Adipic acid production,Process,1,1.3,Process emissions,t,kg|t,N2O,IPCC 2006 Vol.2,N2O — dominant gas
process.urea_production,Urea production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,Net of CO2 consumed
process.methanol_production,Methanol production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.hydrogen_smr,Hydrogen production — SMR,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.aluminium_anode,Aluminium — anode consumption,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.aluminium_pfc,Aluminium — PFC from anode effects,Process,1,1.3,Process emissions,t,kg|t,PFC,IPCC 2006 Vol.2,CF4 and C2F6 — very high GWP
process.glass_carbonates,Glass — carbonate decomposition,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.ceramics,Ceramics / brick firing — carbonates,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.calcium_carbide,Calcium carbide production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.ferroalloys,Ferroalloy production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.ethylene_petchem,Petrochemical — ethylene / olefins,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.carbon_black,Carbon black production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.pulp_paper_lime_kiln,Pulp & paper — lime kiln,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.hfc23_byproduct,HFC-23 by-product from HCFC-22 manufacture,Process,1,1.3,Process emissions,t,kg|t,HFC,IPCC 2006 Vol.2,"GWP ~12,700 — tiny masses are material"
process.titanium_dioxide,Titanium dioxide production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.phosphoric_acid,Phosphoric acid production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.lead_production,Lead production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.zinc_production,Zinc production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.silicon_carbide,Silicon carbide production,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,
process.co2_captured,CO2 captured and stored/utilised (deduction),Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,"NEGATIVE entry. Without this, process totals are overstated for any plant with CCS/CCU."
process.other_process_direct,Other process — enter tCO2e directly,Process,1,1.3,Process emissions,t,kg|t,CO2,IPCC 2006 Vol.2,Escape hatch so a user with their own calculation is never blocked
fugitive.refrigerant.r134a,R-134a (HFC-134a),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Simplified material balance: new-charge losses + servicing top-up + disposal losses
fugitive.refrigerant.r410a,R-410A (blend),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Blend — GWP must be mass-weighted from components; AR6 has no blend value
fugitive.refrigerant.r404a,R-404A (blend),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Blend — derive GWP from composition
fugitive.refrigerant.r407c,R-407C (blend),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Blend — derive GWP from composition
fugitive.refrigerant.r32,R-32 (HFC-32),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Simplified material balance: new-charge losses + servicing top-up + disposal losses
fugitive.refrigerant.r1234yf,R-1234yf (HFO),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,AR6 GWP100 is ~0.5 — footnote it or it reads as a bug
fugitive.refrigerant.r1234ze,R-1234ze (HFO),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Simplified material balance: new-charge losses + servicing top-up + disposal losses
fugitive.refrigerant.r507a,R-507A (blend),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Blend
fugitive.refrigerant.r417a,R-417A (blend),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Blend
fugitive.refrigerant.r23,R-23 (HFC-23),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Very high GWP
fugitive.refrigerant.r125,R-125 (HFC-125),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Simplified material balance: new-charge losses + servicing top-up + disposal losses
fugitive.refrigerant.r143a,R-143a (HFC-143a),Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,Simplified material balance: new-charge losses + servicing top-up + disposal losses
fugitive.refrigerant.r290,R-290 (propane) refrigerant,Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,"GWP ~3, near zero"
fugitive.refrigerant.r717,R-717 (ammonia) refrigerant,Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,GWP 0
fugitive.refrigerant.r744,R-744 (CO2) refrigerant,Fugitive — refrigerant,1,1.4,Fugitive emissions,kg,kg|g|lb,HFC,IPCC AR6 GWP / GHG Protocol GWP table,GWP 1
combustion.acetylene,Acetylene — cutting / welding torch,Gaseous fuel,1,1.1,Stationary combustion,kg,kg,"CO2,CH4,N2O",IPCC 2006 Vol.2,"Burned fuel = combustion (IPCC 1A), NOT fugitive. Only vented unburnt acetylene is fugitive."
fugitive.sf6,SF6 — electrical switchgear,Fugitive — other,1,1.4,Fugitive emissions,kg,kg|g,SF6,IPCC AR6,"GWP ~25,200 — a few kg is material"
fugitive.nf3,NF3 — electronics manufacturing,Fugitive — other,1,1.4,Fugitive emissions,kg,kg|g,NF3,IPCC AR6,
fugitive.pfc_etch,PFCs — semiconductor etch/clean,Fugitive — other,1,1.4,Fugitive emissions,kg,kg|g,PFC,IPCC AR6,
fugitive.fire_co2,Fire suppression — CO2,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,CO2,IPCC 2006 Vol.2,
fugitive.fire_hfc227ea,Fire suppression — HFC-227ea / FM-200,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,HFC,IPCC AR6,
fugitive.fire_novec,Fire suppression — Novec 1230,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,other,Manufacturer data,GWP ~1
fugitive.ch4_wastewater,Methane — on-site anaerobic wastewater treatment,Fugitive — other,1,1.4,Fugitive emissions,m3,m3|kL|kg,CH4,IPCC 2006 Vol.2,
fugitive.ch4_ng_distribution,Methane — on-site gas distribution leaks,Fugitive — other,1,1.4,Fugitive emissions,m3,m3|scm,CH4,IPCC 2006 Vol.2,
fugitive.ch4_coal_mine,Methane — coal mining,Fugitive — other,1,1.4,Fugitive emissions,t,t,CH4,IPCC 2006 Vol.2,
fugitive.co2_welding,CO2 — welding shielding gas,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,CO2,IPCC 2006 Vol.2,
fugitive.n2o_medical,N2O — medical / laboratory use,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,N2O,IPCC AR6,
fugitive.co2_beverage,CO2 — carbonation / beverage dispense,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,CO2,IPCC 2006 Vol.2,
fugitive.n2o_wastewater,N2O — on-site wastewater treatment,Fugitive — other,1,1.4,Fugitive emissions,m3,m3|kL|kg,N2O,IPCC 2006 Vol.2,IPCC Vol.5 Ch.6 — nitrogen in effluent. Pairs with fugitive.ch4_wastewater.
fugitive.hfc_foam,HFCs — foam blowing agents,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,HFC,IPCC AR6,
fugitive.hfc_aerosol,HFCs — aerosols and solvents,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,HFC,IPCC AR6,
fugitive.sf6_magnesium,SF6 — magnesium casting cover gas,Fugitive — other,1,1.4,Fugitive emissions,kg,kg,SF6,IPCC AR6,
flare.process_vent,Process vent — flared,Flaring and venting,1,1.1,Stationary combustion,m3,m3|t,"CO2,CH4,N2O",IPCC 2006 Vol.2,IPCC 1B2
flare.biogas,Biogas / landfill gas flared,Flaring and venting,1,1.1,Stationary combustion,m3,m3,"CH4,N2O",IPCC 2006 Vol.2,Biogenic CO2 to memo
vent.process_ch4,Process vent — unflared methane,Flaring and venting,1,1.4,Fugitive emissions,t,kg|t,CH4,IPCC 2006 Vol.2,
vent.oil_gas,Oil & gas venting,Flaring and venting,1,1.4,Fugitive emissions,m3,m3,"CH4,CO2",IPCC 2006 Vol.2,
mobile.offroad.excavator,"Excavator — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.dozer,"Bulldozer — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.crane,"Crane — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.haul_truck,"Mining haul truck — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.loader,"Wheel loader — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.tractor,"Tractor / farm equipment — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
mobile.offroad.genset_mobile,"Mobile generator — owned, diesel",Off-road mobile plant,1,1.2,Mobile combustion,L,L|kL|m3|gal,"CO2,CH4,N2O",DESNZ,
agri.enteric_fermentation,Enteric fermentation — livestock,Agriculture and land,1,1.5,Agriculture,head.yr,head.yr,CH4,IPCC 2006 Vol.2,
agri.manure_management,Manure management,Agriculture and land,1,1.5,Agriculture,head.yr,head.yr,"CH4,N2O",IPCC 2006 Vol.2,
agri.fertiliser_n2o,N2O from synthetic fertiliser application,Agriculture and land,1,1.5,Agriculture,t,kg|t,N2O,IPCC 2006 Vol.2,Direct and indirect N2O
agri.urea_application,CO2 from urea application,Agriculture and land,1,1.5,Agriculture,t,kg|t,CO2,IPCC 2006 Vol.2,
agri.lime_application,CO2 from agricultural lime application,Agriculture and land,1,1.5,Agriculture,t,kg|t,CO2,IPCC 2006 Vol.2,
agri.rice_cultivation,Rice cultivation — CH4,Agriculture and land,1,1.5,Agriculture,ha,ha,CH4,IPCC 2006 Vol.2,
land.use_change,Land use change emissions,Agriculture and land,1,1.5,Land use,ha,ha,CO2,GHG Protocol Land Sector & Removals Guidance,
land.removals_biochar,Durable removals — biochar / sequestration,Agriculture and land,1,memo,Removals memo,t,kg|t,CO2,GHG Protocol Land Sector & Removals Guidance,"Removals are reported SEPARATELY from gross emissions, never netted off"
elec.grid.location,Grid electricity — location-based,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh|GWh|units,"CO2,CH4,N2O",CEA (India) / eGRID (US) / DESNZ (UK) / IEA,"Use CEA weighted average emission rate, NOT the OM/BM/combined-margin CDM figures"
elec.grid.market_residual,Grid electricity — market-based residual mix,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",AIB (EU) / Green-e (US),No residual mix published for India — substitute grid average and footnote it
elec.ppa_renewable,Electricity — renewable PPA,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,CO2,Contract / supplier,Market-based only; still counts at grid factor for location-based
elec.green_tariff,Electricity — green tariff,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,CO2,Supplier disclosure,
elec.irec,Electricity — I-REC / REC retired,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,CO2,Certificate registry,"Must be retired, not merely purchased; record certificate IDs"
elec.open_access,Electricity — open access / third-party sale (India),Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",CEA / contract,
elec.dg_backup_purchased,Electricity — purchased from a shared DG set,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",Supplier,
elec.ev_charging_onsite,Electricity — charging owned EVs at own facility,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",CEA / grid,"SCOPE 2, not Scope 1. An owned EV has no tailpipe combustion; its electricity is purchased energy."
elec.supplier_specific,Electricity — supplier/utility-specific emission rate,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",Supplier disclosure,Market-based hierarchy tier 3: contracts > supplier-specific rate > residual mix > grid average
elec.submetered_tenant,Electricity — sub-metered from landlord,Purchased electricity,2,2.1,Purchased electricity,kWh,kWh|MWh,"CO2,CH4,N2O",CEA / landlord,Scope 2 if you control the space; otherwise Cat 8/13. Boundary declaration decides.
