coefficient_id,what_it_is,applies_to,unit,status,primary_source,exact_reference,india_specific_source,validation_rule
ef.stationary.ch4_n2o,"CH4 and N2O factors, stationary combustion",1.1 rows,kg/TJ,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.2 Tables 2.2-2.5,UK Government GHG Conversion Factors (DESNZ),"within +/-40% of prior-year value, else human review"
ef.mobile.road,"CO2/CH4/N2O by vehicle class, fuel and control technology",1.2 road rows,kg/TJ or g/km,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.3 Tables 3.2.1-3.2.5,UK Government GHG Conversion Factors (DESNZ) vehicle tables,CH4/N2O differ materially from stationary; do not reuse
ef.mobile.air_marine_rail,"Aviation, marine and rail combustion factors",1.2 non-road rows,kg/TJ,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),"Vol.2 Ch.3 Sec 3.4 railways, 3.5 water-borne navigation, 3.6 civil aviation",UK Government GHG Conversion Factors (DESNZ),"within +/-40% of prior-year value, else human review"
ef.offroad,Off-road mobile plant factors,mobile.offroad.*,kg/TJ,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.3 Table 3.3.1,UK Government GHG Conversion Factors (DESNZ),"within +/-40% of prior-year value, else human review"
process.clinker_cao,CaO fraction in clinker,process.cement_clinker,fraction,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Vol.3 Ch.2 Sec 2.2.1.2 (Eq 2.4); Table 2.1 for carbonate stoichiometry; Table 2.2 for clinker fraction,Plant lab XRF analysis (preferred),EF_clinker = CaO_frac x 0.7848. Multiply by CLINKER not cement.
process.ckd_correction,Cement kiln dust correction factor,process.cement_clinker,fraction,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),"Vol.3 Ch.2 Eq 2.5 (CF_ckd), applied in Eq 2.2; default 1.02",Plant data,Omitting this understates cement process CO2
process.lime_composition,CaO and MgO fractions in lime,process.lime_calcination,fraction,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Ch.2 Table 2.4,Plant lab,"EF = CaO x 0.785 + MgO x 1.092, then x CF_lkd (default 1.02) x C_h, applied PER LIME TYPE"
process.steel_carbon_balance,Carbon in/out coefficients for iron and steel,"process.iron_steel_bf, _dri",t C/t,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Ch.4 Tables 4.1-4.3,Plant mass balance,MUTUALLY EXCLUSIVE with the coke/BF gas/COG fuel rows
process.ammonia_nitric_adipic,"Ammonia, nitric acid, adipic acid factors",process.* chemical rows,t/t product,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Ch.3 Tables 3.1-3.5,Plant data,"Nitric and adipic acid are N2O-only, not CO2"
process.aluminium,"Anode consumption and PFC (CF4, C2F6) factors",process.aluminium_*,t/t Al,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Ch.4 Section 4.4,Smelter data,PFC only for anode-effect row
process.glass_ceramics,Carbonate decomposition factors,"process.glass_carbonates, ceramics",t CO2/t,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Vol.3 Ch.2 Sec 2.4 glass (Table 2.6) and Sec 2.5 other carbonate uses (Table 2.7),Plant batch composition,CO2 only
gwp.ar6,"GWP100 values, AR6, all gases",all CO2e conversions,dimensionless,TO_INGEST,IPCC AR6 WG1 Ch.7 / GHG Protocol GWP table (Aug 2024),AR6 WG1 Ch.7 Table 7.15,Also required: AR5 and AR4 sets for CDP and legacy baselines,"VERSIONED DATA, not a constant. Fossil CH4 29.8 vs non-fossil 27.0 are DIFFERENT; store which non-fossil value you chose (27.0 vs the argued 27.9) as a cited field."
gwp.blend_composition,Component composition of refrigerant blends,fugitive.refrigerant.r410a/r404a/r407c/r507a/r417a,mass fraction,TO_INGEST,ASHRAE 34 / manufacturer datasheet,Blend composition standard,-,AR6 publishes pure species only. Blend GWP = mass-weighted average. Store the derivation.
ef.wastewater_ch4_n2o,CH4 and N2O from on-site wastewater treatment,"fugitive.ch4_wastewater, n2o_wastewater",kg/kg BOD or kg N,TO_INGEST,IPCC 2006 Guidelines Vol.5 (Waste),Ch.6 Tables 6.2-6.11,CPCB effluent norms,"within +/-40% of prior-year value, else human review"
grid.india_weighted_average,Indian grid weighted average emission rate,elec.grid.location,t CO2/MWh,TO_INGEST,CEA CO2 Baseline Database for the Indian Power Sector,"Current User Guide version, weighted average tables",CEA (authoritative for India),"Use the WEIGHTED AVERAGE, not OM/BM/combined margin (those are CDM baselines)"
grid.other_regions,"Grid factors for UK, EU, US, rest of world",elec.grid.location,kg CO2e/kWh,TO_INGEST,"DESNZ (UK), eGRID (US), IEA (global)",Latest annual release,-,"Keyed by (region, year); annual re-ingest required"
grid.residual_mix,Residual mix factors,elec.grid.market_residual,kg CO2e/kWh,TO_INGEST,"AIB European Residual Mixes (EU), Green-e (US)",Latest annual release,NOT PUBLISHED for India,"Where unpublished, substitute grid average and footnote it explicitly in the report"
td.loss_rate,Transmission and distribution loss rate by region,cat3.td_losses,fraction of generation,TO_INGEST,"CEA (India), DESNZ (UK), IEA (global)",Annual system loss statistics,CEA annual report,"Apply as C x L/(1-L), NOT C x L"
ef.steam_heat_cooling,"Purchased steam, heat and chilled water factors",2.2 rows,kg CO2e/GJ,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Heat and steam table,Supplier disclosure preferred,"within +/-40% of prior-year value, else human review"
wtt.all_fuels,Well-to-tank factors for every Scope 1 fuel and Scope 2 electricity,cat3.wtt_*,kg CO2e per unit,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),WTT tables,-,Auto-derived; no user input
ef.freight_modes,"Freight factors by mode: road, rail, sea, air, courier","cat4.*, cat9.*",kg CO2e/t.km,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Freighting goods table,GLEC Framework,"within +/-40% of prior-year value, else human review"
ef.waste_treatment,Waste factors by material and treatment route,cat5.*,kg CO2e/t,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),"Vol.5 Ch.3 solid waste disposal, Ch.4 biological treatment, Ch.5 incineration; Ch.2 for composition data",IPCC 2006 Guidelines Vol.5 (Waste) Ch.2-3,"within +/-40% of prior-year value, else human review"
ef.business_travel,"Air by haul band and cabin class, rail, road, hotel",cat6.*,kg CO2e/pax.km or /night,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Business travel tables,-,Air needs a detour uplift on great-circle distance
ef.commuting,Commuting factors by mode,cat7.*,kg CO2e/pax.km,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Passenger vehicles table,Indian two-wheeler and auto-rickshaw factors need a local source,"within +/-40% of prior-year value, else human review"
ef.materials,"Material factors: steel, cement, aluminium, plastics, paper, glass",cat1.material.*,kg CO2e/kg,TO_INGEST,ecoinvent / DESNZ material use table,-,India-specific where available,Primary vs secondary aluminium differ ~10x
ef.eeio_spend,Spend-based EEIO factors by sector,"cat1.spend_based, cat2.spend_based",kg CO2e per currency unit,TO_INGEST,EXIOBASE / USEEIO,Sector-mapped tables,Indian input-output derived set if available,Record the factor's base year AND currency; deflation is mandatory
fx.rates_dated,Dated currency conversion rates,spend-based rows,ratio,TO_INGEST,RBI reference rate / central bank,Daily or annual average,RBI,Stored with the date used
price_index,Producer/consumer price index series for deflation,spend-based rows,index,TO_INGEST,MoSPI (India) / national statistics office,WPI or CPI series,MoSPI,Required to deflate spend to the factor base year
ppp.usd_inr,"PPP conversion factor, USD/INR",BRSR Core intensity,ratio,TO_INGEST,World Bank ICP,Annual PPP conversion factor,-,REQUIRED by BRSR Core for PPP-adjusted turnover intensity
ef.agriculture,"Enteric fermentation, manure, fertiliser N2O, rice cultivation",agri.*,varies,TO_INGEST,IPCC 2006 Guidelines Vol.4 (AFOLU),"Vol.4 Ch.5 Sec 5.5 rice cultivation; Ch.10 livestock and manure; Ch.11 managed soils, lime and urea",MoEFCC BUR national inventory,"within +/-40% of prior-year value, else human review"
process.clinker_noncarbonate_cao,"CaO in clinker derived from NON-carbonate raw materials (fly ash, GGBS, steel slag)",process.cement_clinker,fraction,TO_INGEST,IPCC 2006 Guidelines Vol.3 (IPPU),Ch.2 Sec 2.2.1.2,Plant raw-meal analysis - material for Indian blended cement,SUBTRACTED from the CaO fraction. Opposite sign to the organic-carbon correction. Two separate fields.
